id,name,email,date,amount,status
11,John Doe,john.doe@example.com,01-04-2025,125.5,active
12,Jane Smith,jane.smith@example.com,02-04-2025,75.25,pending
13,Robert Johnson,robert.j@example.com,02-04-2025,220,active
14,Emily Davis,emily.davis@example.com,03-04-2025,50.75,inactive
15,Michael Brown,michael.b@example.com,03-04-2025,175.25,active
16,Sarah Wilson,sarah.w@example.com,04-04-2025,95.5,pending
17,David Miller,david.m@example.com,04-04-2025,150,active
18,Lisa Taylor,lisa.t@example.com,05-04-2025,85.75,inactive
19,James Anderson,james.a@example.com,05-04-2025,210.25,active
20,Jennifer White,jennifer.w@example.com,06-04-2025,110.5,pending
